	"RWUpf_B.genes.results"	"RWUpf_C.genes.results"	"RWUpf_D.genes.results"	"RWNos_A.genes.results"	"RWNos_B.genes.results"	"RWNos_C.genes.results"	"RWUN_G.genes.results"	"RWUN_K.genes.results"	"RWUN_L.genes.results"	"RWL7_A.genes.results"	"RWL7_B.genes.results"	"RWL7_C.genes.results"	"RWW_B.genes.results"	"RWW_C.genes.results"	"RWW_D.genes.results"
"FBgn0011915"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0011916"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0011919"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0011921"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0011927"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0011928"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0011931"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0011932"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0011933"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0011934"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0011935"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0011936"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0011937"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0011938"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0011944"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0011945"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0011948"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0011949"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0011950"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0011951"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0011952"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0011953"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0011954"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0011955"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0011956"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0011957"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0011958"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0011959"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0011960"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0011961"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0011962"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0011963"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0011965"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0011966"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0011970"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0011971"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0011974"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0011975"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0011976"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0011977"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0011980"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0011981"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0011982"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0011983"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0011984"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0011985"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0011986"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0011987"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0011993"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0011994"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0011998"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0011999"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0012000"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0012001"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0012002"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0012003"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0012004"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0012009"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0012010"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0012011"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0012016"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0012017"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0012018"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0012024"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0012025"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0012026"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0012027"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0012028"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0012034"	38.97	45.63	40.05	48.98	45.97	48.37	19.83	14.27	18.39	51.17	59.92	41.15	24.02	27.74	28.17
"FBgn0012036"	213.37	201.75	201.24	192.10	169.96	199.18	12.69	11.37	16.02	131.75	176.94	177.51	118.14	182.82	141.44
"FBgn0012037"	0.00	0.00	0.03	0.03	0.03	0.55	0.00	0.00	0.08	0.03	0.04	0.00	0.03	0.00	0.00
"FBgn0012042"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0012051"	11.97	13.81	13.04	12.18	13.62	12.53	22.44	20.99	22.22	13.88	12.02	11.93	12.83	12.44	15.32
"FBgn0012058"	37.48	43.24	46.47	52.13	54.13	51.36	18.10	11.91	16.43	27.75	27.80	33.39	30.16	35.30	44.37
"FBgn0012344"	0.00	0.00	0.03	0.00	0.04	0.00	0.00	0.00	0.03	0.00	0.00	0.05	0.00	0.00	0.00
"FBgn0013263"	68.83	71.84	78.05	85.93	86.92	81.09	109.26	95.37	106.33	72.54	69.26	70.94	69.88	51.37	80.06
"FBgn0013269"	685.42	667.72	671.58	795.85	767.76	810.74	920.46	1041.38	1003.11	716.84	770.05	771.74	728.32	652.08	702.24
"FBgn0013272"	0.02	0.07	0.20	0.14	0.12	0.54	0.10	0.05	0.05	0.08	0.03	0.03	0.08	0.05	0.08
"FBgn0013275"	1.50	1.80	1.40	2.75	0.93	2.17	0.00	0.00	0.00	1.49	0.84	1.42	1.37	0.42	1.03
"FBgn0013276"	7.93	8.46	9.21	20.59	19.97	23.07	1.43	0.88	1.74	4.67	3.47	8.70	0.00	1.31	0.56
"FBgn0013277"	0.11	0.13	0.05	0.26	0.11	0.13	0.00	0.07	0.00	0.00	0.10	0.09	0.00	0.09	0.00
"FBgn0013278"	0.31	0.24	0.22	0.43	0.64	0.85	0.08	0.00	0.19	0.24	0.00	0.41	0.29	0.25	0.20
"FBgn0013279"	0.00	0.00	0.00	0.00	0.00	0.00	0.17	0.00	0.00	0.00	0.00	0.19	0.00	0.00	0.00
"FBgn0013300"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0013301"	0.00	0.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.12	0.00	0.00	0.00
"FBgn0013303"	269.17	232.44	190.55	231.53	227.08	210.57	280.92	381.79	308.19	311.43	282.03	275.06	280.93	307.06	257.11
"FBgn0013305"	113.17	96.41	88.69	122.46	115.89	116.99	119.91	121.75	112.28	128.10	124.19	131.30	125.49	121.36	104.42
"FBgn0013307"	0.06	0.00	0.00	0.00	0.00	0.00	0.06	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0013308"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0013323"	0.00	0.00	0.12	0.00	0.00	0.12	0.57	0.35	0.58	0.77	0.42	0.00	0.00	0.00	0.00
"FBgn0013325"	3077.50	2559.71	2368.86	2487.38	2412.30	2683.10	3129.71	4117.66	3505.22	3464.44	3986.62	3439.90	3640.81	3473.01	2208.19
"FBgn0013334"	8.38	9.44	10.38	8.85	9.82	9.00	13.45	12.40	13.05	8.79	8.43	8.25	10.01	8.44	12.21
"FBgn0013342"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.02	0.02	0.00	0.05	0.00	0.00
"FBgn0013343"	12.04	16.80	17.76	12.14	14.64	11.78	25.39	17.43	21.80	8.80	6.75	8.05	10.22	8.47	19.43
"FBgn0013347"	404.16	331.80	270.08	316.11	312.06	325.24	293.05	375.50	323.65	422.20	470.61	419.75	500.96	564.11	373.49
"FBgn0013348"	0.00	0.00	0.09	0.00	0.15	0.09	0.00	0.00	0.11	0.00	0.21	0.00	0.00	0.10	0.00
"FBgn0013432"	135.44	127.82	117.18	141.79	138.85	138.31	126.86	161.90	138.52	145.31	161.35	149.35	97.29	96.41	82.24
"FBgn0013433"	0.00	0.00	0.00	0.00	0.00	0.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0013435"	25.86	23.44	26.41	32.36	34.99	32.13	33.95	33.67	32.28	30.31	34.04	34.18	30.71	27.48	25.57
"FBgn0013467"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.03	0.00	0.04	0.00
"FBgn0013469"	0.02	0.02	0.00	0.00	0.00	0.00	0.02	0.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0013531"	70.77	63.29	51.00	80.24	75.56	74.70	16.64	16.51	17.66	67.80	78.45	81.64	79.97	82.69	63.29
"FBgn0013548"	59.29	63.26	66.94	76.51	76.55	74.33	12.35	8.05	11.95	50.26	52.55	55.79	75.16	75.18	68.82
"FBgn0013563"	23.84	23.59	23.29	24.78	26.78	23.62	13.38	11.57	14.51	19.06	19.68	24.92	21.81	24.02	25.33
"FBgn0013576"	62.78	81.62	89.46	52.51	55.29	43.38	13.31	6.92	12.91	41.25	40.20	50.84	40.13	47.22	58.66
"FBgn0013672"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0013673"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0013674"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0013675"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0013676"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0013678"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0013679"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0013680"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0013681"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0013683"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0013684"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0013685"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0013686"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0013687"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0013688"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0013689"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0013690"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0013691"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0013692"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0013693"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0013694"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0013695"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0013696"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0013697"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0013698"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0013699"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0013700"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0013701"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0013702"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0013703"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0013704"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0013705"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0013706"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0013707"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0013708"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0013709"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0013710"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0013717"	38.05	42.06	42.79	45.45	46.60	47.30	66.73	56.38	61.62	35.15	35.55	37.61	41.16	35.21	49.04
"FBgn0013718"	54.91	65.85	66.17	57.81	61.35	58.29	107.75	87.18	89.37	54.19	47.20	51.68	54.69	47.31	67.37
"FBgn0013720"	59.07	63.15	59.51	67.90	62.25	68.53	78.79	80.54	80.36	67.05	67.79	66.29	66.16	58.26	61.09
"FBgn0013725"	0.00	0.07	0.04	0.06	0.12	0.24	0.04	0.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0013726"	113.33	125.00	140.46	110.73	109.50	111.97	204.75	194.27	200.39	103.93	98.37	85.40	92.15	81.02	130.26
"FBgn0013732"	43.28	52.29	64.03	44.60	48.76	46.89	76.70	57.51	71.21	36.74	34.13	37.00	39.79	33.51	57.94
"FBgn0013733"	0.48	1.76	2.56	0.53	0.58	0.51	2.06	0.91	2.06	0.36	0.21	0.25	0.40	0.78	1.42
"FBgn0013746"	194.30	186.54	161.66	198.11	198.07	197.27	270.13	311.74	274.64	224.31	206.93	208.16	200.13	176.95	199.39
"FBgn0013749"	1002.50	812.94	668.95	830.30	771.78	825.84	1056.32	1445.62	1170.41	1122.07	1155.26	1100.46	959.92	985.26	764.42
"FBgn0013750"	255.11	233.42	211.51	224.23	229.75	217.56	273.12	317.83	272.56	279.89	262.19	265.00	247.50	271.29	227.60
"FBgn0013751"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0013753"	110.95	98.48	87.21	112.55	112.22	116.83	123.69	143.64	119.44	136.09	128.11	119.62	111.60	94.44	108.34
"FBgn0013755"	5.72	3.98	3.94	6.79	7.94	12.51	3.41	4.44	4.22	8.74	7.00	8.83	13.48	4.99	6.46
"FBgn0013756"	25.56	49.26	59.65	16.83	21.49	14.60	88.27	54.55	78.39	15.80	13.12	14.83	17.10	21.99	44.91
"FBgn0013759"	18.43	22.30	25.73	17.86	20.14	17.21	5.14	2.48	4.83	15.01	14.32	14.23	19.00	23.30	28.80
"FBgn0013762"	32.86	31.13	28.93	29.69	28.60	29.46	14.61	16.44	13.93	32.36	34.83	30.12	39.36	45.69	33.23
"FBgn0013763"	278.54	253.47	253.06	316.39	319.30	358.07	485.17	412.12	423.54	339.14	309.48	289.91	231.72	152.84	252.60
"FBgn0013764"	69.30	73.28	86.99	76.30	77.71	76.84	111.72	101.49	106.71	80.50	85.17	75.20	81.64	60.68	69.46
"FBgn0013765"	36.72	43.96	51.54	37.18	41.91	37.72	47.85	36.52	45.27	30.85	28.98	32.06	25.95	23.29	42.45
"FBgn0013767"	0.00	0.00	0.00	0.11	0.00	0.12	0.00	0.00	0.30	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0013770"	794.20	672.73	597.75	694.72	641.70	715.37	349.71	359.97	365.35	716.33	858.56	784.25	747.12	841.11	720.23
"FBgn0013771"	2.95	3.03	2.37	2.35	2.60	2.14	0.04	0.00	0.08	1.96	2.03	1.64	3.45	3.95	2.89
"FBgn0013772"	0.00	0.00	0.00	0.00	0.00	0.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0013773"	101.20	96.26	88.43	112.74	109.21	117.56	69.42	66.90	70.01	102.78	105.13	103.60	106.23	106.92	100.39
"FBgn0013799"	25.15	31.44	40.47	23.11	27.49	21.91	38.31	28.02	37.76	19.27	17.96	19.87	23.75	25.42	31.74
"FBgn0013810"	0.06	0.15	0.15	0.09	0.11	0.13	0.11	0.09	0.13	0.10	0.03	0.06	0.10	0.11	0.20
"FBgn0013811"	0.01	0.00	0.01	0.01	0.01	0.01	0.05	0.04	0.05	0.02	0.02	0.01	0.01	0.00	0.00
"FBgn0013812"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0013813"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.01	0.01	0.02
"FBgn0013949"	0.00	0.00	0.00	0.00	0.00	0.00	0.07	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0013953"	0.00	0.00	0.00	0.02	0.00	0.13	0.00	0.00	0.00	0.00	0.00	0.00	0.06	0.00	0.00
"FBgn0013954"	1826.27	1752.90	1517.49	1568.91	1534.14	1711.31	1857.65	2495.72	2077.65	2173.39	2374.22	1891.05	1956.26	1996.51	1372.90
"FBgn0013972"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.03	0.00	0.00	0.00	0.00	0.00
"FBgn0013973"	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.02	0.00	0.00	0.00	0.00	0.00
"FBgn0013981"	1976.40	1665.22	1353.00	1576.49	1534.71	1643.14	2066.20	2698.21	2257.16	2093.75	2282.22	1775.07	1974.69	2314.31	1485.47
"FBgn0013983"	10.91	11.10	10.49	13.36	13.78	12.95	0.54	0.56	0.37	10.27	10.29	11.73	13.31	16.85	12.45
"FBgn0013987"	93.94	97.14	97.00	99.40	99.22	101.68	135.27	130.31	130.66	97.71	96.86	94.53	84.49	65.13	95.94
"FBgn0013995"	31.84	36.98	39.20	35.01	34.50	32.83	1.42	1.03	2.22	24.46	24.28	26.08	25.98	34.28	36.02
"FBgn0013997"	8.15	11.08	11.72	7.19	8.03	6.27	4.33	3.09	3.59	5.03	3.98	5.02	6.32	6.77	9.57
"FBgn0014000"	0.00	0.00	0.00	0.07	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0014002"	416.20	408.65	432.35	460.02	451.13	480.71	581.39	514.56	569.09	359.21	410.02	409.47	435.01	330.85	447.56
"FBgn0014006"	13.40	16.23	17.71	15.58	15.86	14.77	3.24	2.08	3.38	9.56	9.28	11.02	9.19	11.90	14.91
"FBgn0014007"	33.63	46.63	41.65	23.84	30.78	22.92	48.54	43.06	44.77	27.56	18.94	27.51	27.58	27.37	50.59
"FBgn0014009"	167.40	177.72	174.48	193.04	194.45	189.73	284.48	299.93	267.40	199.43	191.70	194.50	194.82	180.23	198.64
"FBgn0014010"	187.66	174.73	170.32	191.86	180.83	181.31	171.06	166.86	157.72	210.07	189.61	192.90	206.76	214.98	205.90
"FBgn0014011"	25.73	29.02	29.91	21.98	23.72	21.35	41.75	37.83	41.63	26.18	19.48	24.92	19.99	17.33	24.09
"FBgn0014018"	18.66	21.71	19.41	17.65	19.43	18.44	4.24	2.75	4.84	16.92	14.06	17.39	22.63	23.31	25.49
"FBgn0014019"	0.00	0.00	0.00	0.00	0.04	0.00	0.00	0.18	0.00	0.05	0.00	0.00	0.05	0.00	0.00
"FBgn0014020"	267.35	262.73	251.18	288.57	287.74	281.22	403.62	441.97	413.13	290.17	284.43	287.48	227.11	218.61	219.50
"FBgn0014022"	34.98	34.39	27.89	44.24	45.04	39.05	49.39	50.05	51.91	49.95	39.71	39.00	44.92	33.66	45.10
"FBgn0014023"	63.13	49.30	37.62	63.60	56.90	60.53	2.27	2.76	3.27	58.44	59.31	52.60	65.73	96.44	51.17
"FBgn0014024"	19.35	21.60	23.22	22.47	21.49	21.70	1.33	0.78	1.89	11.03	14.99	15.97	15.32	19.01	23.95
"FBgn0014026"	3366.71	3051.34	2892.97	2893.20	2825.58	3161.51	3829.54	4493.53	4170.79	3326.02	3769.80	3242.57	3692.94	3834.47	2610.65
"FBgn0014028"	104.13	118.29	112.12	98.34	91.62	90.35	118.20	133.42	125.72	133.28	145.00	135.27	142.47	127.95	97.31
